epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.362,1.12117,8.66133,0.42969,0.70193,1.88073,0.88669,0.87888,0.91206,0.53255,0.01817,0.01652,0.00327,0.00055,1.46868,7.86778,0.40367,0.74006,2.17803,0.0668049,9.98851e-05,9.98851e-05
2,854.105,0.96163,6.83326,0.3969,0.55545,1.69884,0.93485,0.93099,0.96636,0.61092,0.1903,0.14786,0.06702,0.01056,1.3671,6.51023,0.38261,0.60001,1.97357,0.0335649,0.000193289,0.000193289
3,1276.14,0.88887,5.9596,0.38515,0.50635,1.61551,0.94339,0.95019,0.97912,0.7061,0.30001,0.23712,0.13219,0.02269,1.05412,5.95893,0.37359,0.54474,1.65387,0.000318407,0.000280093,0.000280093
4,1696.99,0.84728,5.51774,0.37697,0.47708,1.57094,0.93824,0.95589,0.9808,0.71046,0.39901,0.3374,0.20918,0.0409,1.01694,5.55757,0.36712,0.52047,1.60878,0.0002703,0.0002703,0.0002703
5,2115.76,0.80149,5.18378,0.37211,0.44811,1.5173,0.93896,0.95792,0.97925,0.73246,0.42126,0.37672,0.25139,0.0485,0.93415,5.37672,0.36313,0.50713,1.5686,0.0002604,0.0002604,0.0002604
6,2536.58,0.77235,4.87377,0.3681,0.42812,1.48801,0.94222,0.97365,0.98456,0.75633,0.51681,0.45104,0.33016,0.07005,0.9002,5.04721,0.36229,0.47608,1.50484,0.0002505,0.0002505,0.0002505
7,2954.19,0.74506,4.6999,0.36579,0.4125,1.45963,0.93891,0.97306,0.9848,0.76283,0.57561,0.5002,0.39246,0.0833,0.86722,4.90186,0.35874,0.46927,1.46807,0.0002406,0.0002406,0.0002406
8,3371.85,0.72621,4.49886,0.36242,0.39656,1.43639,0.96176,0.96225,0.98682,0.76313,0.59109,0.53205,0.4561,0.10301,0.89419,4.73725,0.35545,0.44562,1.48993,0.0002307,0.0002307,0.0002307
9,3786.65,0.70123,4.35525,0.36076,0.38344,1.41101,0.94741,0.97523,0.98545,0.78786,0.62846,0.57766,0.504,0.12303,0.80484,4.61601,0.35446,0.43321,1.41041,0.0002208,0.0002208,0.0002208
10,4200.47,0.68657,4.24152,0.35898,0.37348,1.39665,0.95769,0.96028,0.98541,0.78245,0.62153,0.59221,0.51799,0.12932,0.84307,4.53953,0.35326,0.43214,1.45535,0.0002109,0.0002109,0.0002109
